buyer,product,weight
3,4a89d74e-4be1-41fc-a7f1-f7e4cc8e75e2,1.0
3,52a03840-1644-4a24-b511-0c22c87e0579,1.0
5,751cb031-8ed5-49f0-be3d-aabcd756fb5b,1.0
2,efceb9b9-75bf-4ff9-bbe0-800c30eec7ea,1.0
2,559c8c2d-5727-4ff2-84c7-6425791ed323,1.0
6,a401ffb9-d8c1-463e-8298-d999c54be360,1.0
6,751cb031-8ed5-49f0-be3d-aabcd756fb5b,1.0
6,751cb031-8ed5-49f0-be3d-aabcd756fb5b,1.0
6,a401ffb9-d8c1-463e-8298-d999c54be360,1.0
2,a401ffb9-d8c1-463e-8298-d999c54be360,1.0
2,b987ade0-f4b4-40ed-a5cd-5fb4b982d488,1.0
3,41c7becd-bcf5-4b6e-80e5-944692f133e5,1.0
3,52a03840-1644-4a24-b511-0c22c87e0579,1.0
3,52a03840-1644-4a24-b511-0c22c87e0579,1.0
